"chr","start","end","name","H3K27Ac.wig","H3K27Me3.wig","H3K4Me1.wig","H3K4Me3.wig","H3K9Ac.wig","H3K27Ac.wig_pvalue","H3K27Ac.wig_difference","H3K27Me3.wig_pvalue","H3K27Me3.wig_difference","H3K4Me1.wig_pvalue","H3K4Me1.wig_difference","H3K4Me3.wig_pvalue","H3K4Me3.wig_difference","H3K9Ac.wig_pvalue","H3K9Ac.wig_difference","cluster.id"
"chr3L",21014,21323,"em_common_peak-2093",1.35569018625952,3.21810083291449,-0.143937381264147,1.67335132379546,0,0,"more",0,"more",0,"less",0,"more",3.30446142622682e-25,"less",1
"chr3L",36154,36529,"em_common_peak-2094",-2.47875884683807,-3.29463486802964,-3.36362266359111,-2.96492125772378,0,0,"less",0,"less",0,"less",0,"less",3.30446142622682e-25,"less",1
"chr3L",53434,53815,"em_common_peak-2095",1.63235597435193,-0.760653570214177,-3.89375890097623,-0.602201339238942,0,0,"more",1.32998493124078e-06,"less",0,"less",2.47887502998406e-312,"less",3.30446142622682e-25,"less",1
"chr3L",73397,73831,"em_common_peak-2096",0.462072197333299,-8.1759034367366,-2.3431893290162,-8.01654820686178,-0.0990283449139343,2.88727363263355e-268,"more",0,"less",0,"less",0,"less",1.03571283126525e-34,"less",1
"chr3L",76216,76663,"em_common_peak-2097",6.14316981128971,-3.42951115706754,-3.0687681314794,-0.0355077807094225,0.394444774104464,0,"more",0,"less",0,"less",4.18376274790599e-15,"more",0.00620607870999982,"less",1
"chr3L",120592,120936,"em_common_peak-2098",0.813221025317684,-1.90147648236085,-3.7694723331945,-0.152423708374497,68.9031263482339,0,"more",0,"less",0,"less",0.115158018445414,"equal",0,"more",1
"chr3L",133485,133631,"em_common_peak-2099",8.47216643334013,-8.26848296112419,-2.33235609784507,2.2604950471023,-0.0643325842771449,0,"more",0,"less",0,"less",0,"more",3.35039251004366e-31,"less",1
"chr3L",135406,135904,"em_common_peak-2100",-0.573637570623676,-8.72756755164809,30.4656860036776,-6.22774870494925,-0.150191770628258,0,"less",0,"less",0,"more",0,"less",3.05376898060828e-40,"less",1
"chr3L",135935,136435,"em_common_peak-2101",0.420069963192263,-13.698971384851,29.4010981313166,-2.74947573059801,-0.18337980792398,4.5406899327143e-211,"more",0,"less",0,"more",0,"less",4.69164139765821e-44,"less",1
"chr3L",140770,141631,"em_common_peak-2102",5.1375779124247,-4.257242084589,-0.778726554668078,3.34417543854156,-0.0837271098749649,0,"more",0,"less",0,"less",0,"more",3.86437257213566e-33,"less",1
"chr3L",141844,142813,"em_common_peak-2103",3.24901444113179,-4.96585782871574,58.2118880820508,-0.675740443780971,-0.153326315411911,0,"more",0,"less",0,"more",0,"less",1.3560258689692e-40,"less",1
"chr3L",198277,198500,"em_common_peak-2104",5.86124520116097,-10.3710281625282,38.7837337276694,3.56117428768784,-0.14264887159522,0,"more",0,"less",0,"more",0,"more",2.12198731138196e-39,"less",1
"chr3L",224007,225320,"em_common_peak-2105",33.9317980464869,-28.1061770162279,12.6508564201868,27.0363690702839,-0.24920469466039,0,"more",0,"less",0,"more",0,"more",3.81057937639792e-52,"less",1
"chr3L",225602,226377,"em_common_peak-2106",27.7635627545469,-11.3483644741543,41.2261245536969,7.6804750851229,-0.172041468502615,0,"more",0,"less",0,"more",0,"more",9.86700671691571e-43,"less",1
