"chrom","start","end","degree","closeness","betweenness","Local_cluster_coefficient","Eigenvector_centrality","membership"
"chr2R",590304,590603,2,2.10399142981945e-05,0.5,0,3.90499331064874e-18,13
"chr2R",587852,588318,2,2.10399142981945e-05,0.5,0,4.02559784634559e-18,13
"chr2R",2143335,2143827,1,2.11380864708366e-05,0,NA,0,3
"chr2R",2381804,2382350,1,2.10406565718687e-05,0,NA,0,1
"chr2R",2389436,2389653,3,2.10421066197795e-05,3,0,0,1
"chr2R",2515597,2515947,1,2.19539018157161e-05,0,NA,0,14
"chr2R",2518217,2518619,1,2.19539018157161e-05,0,NA,0,14
"chr2R",2519642,2520671,1,2.19539018157161e-05,0,NA,0,14
"chr2R",2514584,2514999,1,2.19539018157161e-05,0,NA,0,14
"chr2R",2584415,2585156,2,2.0755500207555e-05,0,0,0,2
"chr2R",3120448,3120871,1,2.08463792093808e-05,0,NA,8.92380192903194e-17,15
"chr2R",3472258,3472479,1,2.0850466938262e-05,0,NA,0,16
"chr2R",3620341,3620820,1,2.1043492075794e-05,0,NA,0,17
"chr2R",3622909,3623300,1,2.1043492075794e-05,0,NA,0,17
"chr2R",3624978,3625441,1,2.1043492075794e-05,0,NA,0,17
"chr2R",3675638,3675994,2,2.11404684088863e-05,0,1,0,3
"chr2R",3679671,3680121,4,2.11404684088863e-05,0,0.166666666666667,0,3
"chr2R",3735840,3736217,1,2.11392285506451e-05,0,NA,0,64
"chr2R",3943574,3944083,1,2.08507066207872e-05,0,NA,0,18
"chr2R",4171397,4171898,2,2.09450315384155e-05,1,0,0,19
"chr2R",4491819,4492162,2,2.09463555564578e-05,1,0,0,20
"chr2R",4542798,4543203,1,2.12399818450516e-05,0,NA,0,53
"chr2R",4715761,4716214,1,2.11406968457168e-05,0,NA,0,47
"chr2R",4956889,4957388,1,2.09454030524348e-05,0,NA,0,21
"chr2R",4954772,4955169,1,2.09454030524348e-05,0,NA,0,21
"chr2R",5179902,5180149,2,2.1140578761014e-05,3,0,0,3
"chr2R",5189852,5190185,5,2.1140582502216e-05,4,0.1,0,3
"chr2R",5353977,5354286,1,2.08499892977651e-05,0,NA,0,22
"chr2R",5928981,5930840,1,2.08499940940546e-05,0,NA,0,23
"chr2R",6362749,6363144,3,2.17416624489403e-05,21,0.333333333333333,0,11
"chr2R",6383598,6383942,1,2.08504248392387e-05,0,NA,0,24
"chr2R",6408027,6408541,1,2.09456304615013e-05,0,NA,0,25
"chr2R",6411426,6412105,1,2.09450994055282e-05,0,NA,0,25
"chr2R",6636441,6637001,2,2.09461120053208e-05,1,0,0,26
"chr2R",7095798,7096162,1,2.09458298982361e-05,0,NA,0,4
"chr2R",7103397,7103765,2,2.09460676027729e-05,1,0,0,4
"chr2R",7148400,7148694,1,2.08498966610807e-05,0,NA,0,27
"chr2R",7304741,7305153,2,2.0755500207555e-05,0,0,0,5
"chr2R",7341000,7341999,1,2.08506882664449e-05,0,NA,0,28
"chr2R",7618074,7618528,1,2.11298682299709e-05,0,NA,0.0160124651748737,6
"chr2R",7619634,7620036,1,2.11298682299709e-05,0,NA,0.0160124651748737,6
