"chr","start","end","name","H3K27Ac.wig","H3K27Me3.wig","H3K4Me1.wig","H3K4Me3.wig","H3K9Ac.wig","H3K27Ac.wig_pvalue","H3K27Ac.wig_difference","H3K27Me3.wig_pvalue","H3K27Me3.wig_difference","H3K4Me1.wig_pvalue","H3K4Me1.wig_difference","H3K4Me3.wig_pvalue","H3K4Me3.wig_difference","H3K9Ac.wig_pvalue","H3K9Ac.wig_difference","cluster.id"
"chr3R",1141,1668,"em_common_peak-3430",3.08497308004151,3.28945475032143,24.4919834901577,-1.78903488087194,0,0,"more",0,"more",0,"more",0,"less",9.14242261204136e-51,"less",1
"chr3R",67993,68379,"em_common_peak-3431",-0.53225167244297,-4.64974042445877,10.6084745395685,-1.88631070490557,0,0,"less",0,"less",0,"more",0,"less",9.14242261204136e-51,"less",1
"chr3R",74993,75360,"em_common_peak-3432",-2.62932275378434,3.23391181604853,21.1913200795204,-1.99212691920149,0,0,"less",0,"more",0,"more",0,"less",9.14242261204136e-51,"less",1
"chr3R",120798,121103,"em_common_peak-3433",1.57251449031266,-2.73706499579416,-3.62750626575525,-2.43632552279335,0,0,"more",0,"less",0,"less",0,"less",9.14242261204136e-51,"less",1
"chr3R",134387,134808,"em_common_peak-3434",-3.12696488108041,-16.4175361939624,8.80915171251082,-6.43411045036259,0,0,"less",0,"less",0,"more",0,"less",9.14242261204136e-51,"less",1
"chr3R",183932,184316,"em_common_peak-3435",-1.12222079036726,-0.810505249342658,-1.47258729139103,-0.497187385942645,0,0,"less",0,"less",0,"less",8.13621071609227e-166,"less",9.14242261204136e-51,"less",1
"chr3R",204442,204939,"em_common_peak-3436",0.447259890481802,-11.7277305803908,-7.31390707447317,6.26232864592662,-0.119325509567302,0,"more",0,"less",0,"less",0,"more",4.13145082545273e-68,"less",1
"chr3R",296781,297402,"em_common_peak-3437",1.55967334343858,-8.53743700564338,17.5172980952108,-2.67093346397529,-0.173463654431827,0,"more",0,"less",0,"more",0,"less",7.73605210637539e-77,"less",1
"chr3R",322932,323414,"em_common_peak-3438",-8.03095478563798,-6.14716731242702,-4.28763002123585,-4.80701206346765,0.345387146898915,0,"less",0,"less",0,"less",0,"less",3.28781887500517e-15,"less",1
"chr3R",378886,379297,"em_common_peak-3439",1.35275729134994,-0.96730989182575,-2.23983656876571,0.723449954719307,-0.0270385334237466,0,"more",0,"less",0,"less",0,"more",1.81464866337977e-54,"less",1
"chr3R",408581,408862,"em_common_peak-3440",0.824237431105955,-0.531270880653268,-2.46987517024826,-1.46588622276865,3.77885078913125,0,"more",0,"less",0,"less",0,"less",0,"more",1
"chr3R",464700,465110,"em_common_peak-3441",7.41293438935891,-5.17309183709006,26.4111481660416,-5.43805415756363,-0.112873375467492,0,"more",0,"less",0,"more",0,"less",4.17372165595123e-67,"less",1
"chr3R",485193,485605,"em_common_peak-3442",9.98106739430429,-26.0496637748006,-7.07638671189592,7.0158898171132,-0.180296943406561,0,"more",0,"less",0,"less",0,"more",5.60862656840469e-78,"less",1
"chr3R",487132,487481,"em_common_peak-3443",5.33274387973696,-1.63198727765327,8.89655449865772,6.61867788642643,-0.0709689674060009,0,"more",0,"less",0,"more",0,"more",9.09329165042933e-61,"less",1
