"chr","start","end","name","H3K27Ac.wig","H3K27Me3.wig","H3K4Me1.wig","H3K4Me3.wig","H3K9Ac.wig","H3K27Ac.wig_pvalue","H3K27Ac.wig_difference","H3K27Me3.wig_pvalue","H3K27Me3.wig_difference","H3K4Me1.wig_pvalue","H3K4Me1.wig_difference","H3K4Me3.wig_pvalue","H3K4Me3.wig_difference","H3K9Ac.wig_pvalue","H3K9Ac.wig_difference","cluster.id"
"chrX",6043,6260,"em_common_peak-4901",0,0,0,0,0,0,"less",9.22510585641551e-93,"more",0,"less",0,"less",6.20264086269245e-149,"less",1
"chrX",6584,6991,"em_common_peak-4902",0,0,0.858681911328006,0,0,0,"less",9.22510585641551e-93,"more",0,"less",0,"less",6.20264086269245e-149,"less",1
"chrX",8437,8921,"em_common_peak-4903",-1.54213843471043,-3.39634062701702,-1.8659717822353,0.643659739138054,0,0,"less",0,"less",0,"less",4.14665812245877e-30,"more",6.20264086269245e-149,"less",1
"chrX",12704,12911,"em_common_peak-4904",0.244816785017532,-0.732710091585434,0.242767705229065,2.33539028422262,0,0,"less",0,"less",0,"less",0,"more",6.20264086269245e-149,"less",1
"chrX",13507,13696,"em_common_peak-4905",-0.674076181636091,-1.45590943462384,-0.665000475585706,-0.817452892326539,0,0,"less",0,"less",0,"less",0,"less",6.20264086269245e-149,"less",1
"chrX",18994,19373,"em_common_peak-4906",1.87128294167894,0.00602272073980122,0.413020458495078,5.78690711672441,140.00424787902,0,"more",1.57685415052661e-97,"more",0,"less",0,"more",0,"more",1
"chrX",44425,44879,"em_common_peak-4907",10.1741290387605,-1.47857072009457,8.12913848755953,9.90890157182809,1597.50181632746,0,"more",0,"less",0,"more",0,"more",0,"more",2
"chrX",95711,96131,"em_common_peak-4908",2.08078157472667,2.64225437426851,1.07525232963815,3.40707920169044,-0.00899154246809927,0,"more",0,"more",0,"less",0,"more",2.2371933980274e-150,"less",1
"chrX",159061,159510,"em_common_peak-4909",1.44031361762456,-0.100038330210127,-0.129268826687615,1.02053319048505,-0.00396384283436892,8.38085793848487e-196,"more",2.77168638214175e-31,"more",0,"less",0,"more",1.43668377666766e-149,"less",1
"chrX",232498,232777,"em_common_peak-4910",2.52043640528481,-0.0660773989860588,-0.40189365666227,5.11265014753132,0.42265441209159,0,"more",2.07645668389216e-48,"more",0,"less",0,"more",5.14764865824552e-89,"less",1
