"chrom","start","end","degree","closeness","betweenness","Local_cluster_coefficient","Eigenvector_centrality","membership"
"chrX",18994,19373,1,2.2612873486662e-06,0,NA,1.23359362813083e-18,31
"chrX",232498,232777,1,2.26129735858902e-06,0,NA,1.09916768611067e-18,32
"chrX",384635,384907,1,2.28874542798647e-06,0,NA,1.12137639352715e-18,114
"chrX",619597,620083,2,2.2578969947391e-06,0,0,0,1
"chrX",644923,645328,2,2.27142109033087e-06,3,0,0,125
"chrX",658442,658862,2,2.26468952688574e-06,1,0,4.56888159389339e-20,33
"chrX",683146,683445,3,2.30284449117094e-06,0,0,8.40184157891495e-18,99
"chrX",782598,783074,1,2.26467997864534e-06,0,NA,0,21
"chrX",864846,865562,2,2.2578969947391e-06,0,0,0,2
"chrX",949751,950369,4,2.26470735813863e-06,0,0.166666666666667,0,34
"chrX",952198,952505,2,2.26470735813863e-06,0,1,0,34
"chrX",1116065,1116570,1,2.26128737978648e-06,0,NA,0,35
"chrX",1154797,1155285,3,2.27147327510148e-06,0,0,0,36
"chrX",1377075,1377516,4,2.27838104480626e-06,12,0,0,37
"chrX",1486371,1486950,1,2.27830353272651e-06,0,NA,0,37
"chrX",1555462,1555674,1,2.26129720624355e-06,0,NA,7.9809592751535e-19,38
"chrX",1573887,1574189,3,2.278380062702e-06,9,0,1.56930645369777e-18,37
"chrX",1725252,1725593,2,2.26808839219935e-06,2,0,0,42
"chrX",1749894,1750281,2,2.2578969947391e-06,0,0,2.49178628081473e-18,3
"chrX",1883831,1884215,2,2.26470791525521e-06,1,0,4.01292208169516e-18,39
"chrX",1930078,1930482,3,2.28186985758635e-06,1.5,0,4.15277267255891e-18,52
"chrX",1926770,1927167,3,2.28186985758635e-06,7.5,0,0,52
"chrX",2052583,2052951,1,2.26129741536895e-06,0,NA,2.19372783523396e-18,40
"chrX",2171830,2172088,1,2.27151760881715e-06,0,NA,2.58027649915378e-18,41
"chrX",2174314,2174672,1,2.27151760881715e-06,0,NA,0,41
"chrX",2174770,2175031,1,2.27151760881715e-06,0,NA,2.05334523033229e-19,41
"chrX",2260087,2260451,2,2.26808839219935e-06,2,0,0,42
"chrX",2371621,2372139,2,2.26812883153898e-06,0,0,4.14088852512453e-18,43
"chrX",2374422,2374711,2,2.26812883153898e-06,1,0,4.51314156051024e-18,43
"chrX",2380180,2380803,3,2.30278128324339e-06,23,0,0,99
"chrX",2413949,2414304,1,2.26460649336124e-06,0,NA,0,44
"chrX",2409010,2409559,1,2.26460649336124e-06,0,NA,0,44
"chrX",2510392,2510689,6,2.28190206665752e-06,19,0.0666666666666667,3.05923102084325e-18,45
"chrX",2535288,2535837,2,2.26466774441775e-06,1,0,0,46
"chrX",2565806,2566227,2,2.28189850151282e-06,0,1,2.10193378554222e-18,45
"chrX",2569371,2569924,6,2.28190189861474e-06,4,0.133333333333333,5.62359935767897e-18,45
"chrX",2569928,2570590,6,2.28190189861474e-06,1,0.133333333333333,5.35032190322654e-18,45
"chrX",2695181,2695371,1,2.26466946173504e-06,0,NA,0,47
"chrX",2699664,2700084,1,2.26466946173504e-06,0,NA,0,47
"chrX",2727126,2727569,1,2.26468686898117e-06,0,NA,1.39039801113971e-19,48
"chrX",2727691,2728003,1,2.26468686898117e-06,0,NA,0,48
"chrX",2795650,2796056,1,2.26128275236505e-06,0,NA,0,49
"chrX",2801448,2801892,1,2.3343262798306e-06,0,NA,0,6
"chrX",2804413,2804859,1,2.3343262798306e-06,0,NA,0,6
"chrX",2811518,2811949,2,2.26796592090745e-06,0.5,0,0,50
"chrX",2813502,2813960,2,2.26796592090745e-06,0.5,0,0,50
"chrX",2826181,2826538,4,2.33486874289336e-06,41,0,0,6
"chrX",2915851,2916202,2,2.26462207386158e-06,1,0,0,51
"chrX",3045242,3045621,7,2.27145581870423e-06,0.333333333333333,0.238095238095238,5.93435313783068e-16,4
"chrX",3042899,3043425,3,2.27142964572734e-06,0,1,2.79686668932198e-16,4
"chrX",3044687,3045144,7,2.27145581870423e-06,0.333333333333333,0.238095238095238,5.28339093138497e-16,4
"chrX",3039741,3040110,3,2.27142964572734e-06,0,1,2.74766605743946e-16,4
"chrX",3055683,3056149,1,2.28182879368408e-06,0,NA,3.83636058498488e-19,52
"chrX",3054106,3054874,1,2.28182879368408e-06,0,NA,0,52
"chrX",3165938,3166289,1,2.26464179353043e-06,0,NA,0,53
